Latitude,Longitude
28.5523066192811,77.0582916229218
28.566110951038,77.066973235558
28.5746302328606,77.0652600329506
28.5811071716105,77.0575157435016
28.5864665368077,77.0494395559262
28.5923408297256,77.0405178965978
28.5971357746047,77.0334642956349
28.6023347405706,77.0258726631253
28.614890831767,77.0230226799282
28.6192225892014,77.0331954677521
28.6205554016478,77.044886581939
28.6224879496614,77.0561601562044
28.6247869690165,77.0653460318248
28.6302946269664,77.0782361144326
28.6330397285932,77.0867017576055
28.6364708898881,77.0964418729953
28.6405544801479,77.105176486415
28.644028303404,77.1128615420883
28.6492388225497,77.1224999898467
28.6529717409243,77.1315858333472
28.6581014590991,77.1426418439526
28.6559475402267,77.1509309090877
28.6518876774553,77.1582175755708
28.6451998385437,77.1693724724435
28.6424704461657,77.1782269929916
28.6440156067452,77.1884565990291
28.6445344147089,77.1999713312405
28.6395154041303,77.2085431241335
28.6329734119139,77.2193510368546
28.6300970621335,77.2245172448429
28.6256526646809,77.2337830059159
28.6233514306641,77.2429074031299
28.620519941166,77.2499498956222
28.6234109934918,77.2679808386066
28.618276204879,77.2794490405575
28.604424536074,77.290209138728
28.5944502035697,77.2950581100193
28.589151799252,77.3020929668007
28.585340026917,77.3116061867364
28.5784460451273,77.3181484495603
28.570713433793,77.3261838876736
28.5643322496093,77.3342501129437
28.5671713835195,77.3459184311741
28.5746586202827,77.3560149491495
28.580092933415,77.3634346449715
28.5868887497494,77.3728310907982
28.5976285496566,77.3722864170942
28.6064640893036,77.3726511974745
28.6173322929151,77.373602621362
28.6279554640902,77.3749115393492
